ID,da_percent,hra_percent,esi_eligible
1255,0.0,0.0,0
215,190.0,16.0,0
159,190.0,16.0,0
222,190.0,16.0,0
219,190.0,16.0,0
221,190.0,16.0,0
283,190.0,16.0,0
214,190.0,16.0,0
288,190.0,16.0,0
202,190.0,16.0,0
207,190.0,16.0,0
217,190.0,16.0,0
504,148.0,10.0,0
347,190.0,16.0,0
200,190.0,16.0,0
693,190.0,16.0,0
450,190.0,16.0,0
376,190.0,16.0,0
332,190.0,16.0,0
354,190.0,16.0,0
484,190.0,16.0,0
313,190.0,16.0,0
388,190.0,16.0,0
197,190.0,16.0,0
203,190.0,16.0,0
301,190.0,16.0,0
299,190.0,16.0,0
306,190.0,16.0,0
319,190.0,16.0,0
432,190.0,16.0,0
434,190.0,16.0,0
318,190.0,16.0,0
528,190.0,16.0,0
454,190.0,16.0,0
375,190.0,16.0,0
506,190.0,16.0,0
320,190.0,16.0,0
367,190.0,16.0,0
337,190.0,16.0,0
377,190.0,16.0,0
399,190.0,16.0,0
415,190.0,16.0,0
395,190.0,16.0,0
404,190.0,16.0,0
499,190.0,16.0,0
464,190.0,16.0,0
435,190.0,16.0,0
442,148.0,10.0,0
529,190.0,16.0,0
452,190.0,16.0,0
524,190.0,16.0,0
381,190.0,16.0,0
536,190.0,16.0,0
538,190.0,16.0,0
405,190.0,16.0,0
437,190.0,16.0,0
462,190.0,16.0,0
463,190.0,16.0,0
471,190.0,16.0,0
482,190.0,16.0,0
496,190.0,16.0,0
501,190.0,16.0,0
507,190.0,16.0,0
508,190.0,16.0,0
513,190.0,16.0,0
514,190.0,16.0,0
515,190.0,16.0,0
530,190.0,16.0,0
531,181.0,16.0,0
532,190.0,16.0,0
533,181.0,16.0,0
535,190.0,16.0,0
537,190.0,16.0,0
547,190.0,16.0,0
550,190.0,16.0,0
559,190.0,16.0,0
561,190.0,16.0,0
564,190.0,16.0,0
565,190.0,16.0,0
567,190.0,16.0,0
569,190.0,16.0,0
570,190.0,16.0,0
571,190.0,16.0,0
574,190.0,16.0,0
580,190.0,16.0,0
584,190.0,16.0,0
586,190.0,16.0,0
587,190.0,16.0,0
589,190.0,16.0,0
590,190.0,16.0,0
591,190.0,16.0,0
593,190.0,16.0,0
594,190.0,16.0,0
601,190.0,16.0,0
602,190.0,16.0,0
604,190.0,16.0,0
603,190.0,16.0,0
606,190.0,16.0,0
605,137.6,10.0,0
607,190.0,16.0,0
609,190.0,16.0,0
610,190.0,16.0,0
616,190.0,16.0,0
617,181.0,16.0,0
618,190.0,16.0,0
619,190.0,16.0,0
622,113.59985396129974,10.0,0
632,190.0,16.0,0
638,190.0,16.0,0
640,190.0,16.0,0
642,190.0,16.0,0
643,190.0,16.0,0
652,190.0,16.0,0
653,190.0,16.0,0
654,190.0,16.0,0
655,190.0,16.0,0
676,190.0,16.0,0
677,190.0,16.0,0
678,190.0,16.0,0
679,190.0,16.0,0
681,190.0,16.0,0
683,190.0,16.0,0
686,190.0,16.0,0
690,190.0,16.0,0
691,190.0,16.0,0
692,190.0,16.0,0
695,190.0,16.0,0
696,190.0,16.0,0
697,190.0,16.0,0
698,172.0,16.0,0
699,190.0,16.0,0
753,190.0,16.0,0
758,190.0,16.0,0
759,190.0,16.0,0
762,190.0,16.0,0
763,190.0,16.0,0
876,190.0,16.0,0
879,190.0,16.0,0
881,190.0,16.0,0
882,190.0,16.0,0
888,190.0,16.0,0
889,190.0,16.0,0
890,190.0,16.0,0
891,190.0,16.0,0
892,190.0,16.0,0
874,190.0,16.0,0
928,113.59985396129974,10.0,0
939,190.0,16.0,0
